Category,data_type,Iteration,Min,Max,Mean,Median,STD,Elevated Value,Classification
Mixture,harmonic,140,-0.31074733,0.30871886,-0.00024911,-0.000213523,0.06640569,-2.491103,Mix
Mixture,percussive,140,-0.43188614,0.43017793,0,0,0.075124554,0,
Music,harmonic,140,-0.4814235,0.48430604,0.000320285,0.000177936,0.1269395,3.202847,Music
Music,percussive,140,-0.42907473,0.42989326,0.000142349,0.000142349,0.06163701,1.4234876,
Speech,harmonic,140,-0.25128114,0.2544128,-0.000427046,-0.000427046,0.048042703,-4.2704627,Speech
Speech,percussive,140,-0.47925267,0.4650178,0,0,0.058754448,0,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,MIXURE,-0.00024911,-2.4911,,,
,,,,,,,Harmonic >0 = Music,,
,,,,,,,Harmonic  = Music,,
